product_id,product_name,description
1,Product 1,A lightweight laptop suitable for productivity and entertainment.
2,Product 2,A high-performance smartphone with a large screen and fast processor.
3,Product 3,A lightweight laptop suitable for productivity and entertainment.
4,Product 4,A high-performance smartphone with a large screen and fast processor.
5,Product 5,A lightweight laptop suitable for productivity and entertainment.
6,Product 6,A high-performance smartphone with a large screen and fast processor.
7,Product 7,A lightweight laptop suitable for productivity and entertainment.
8,Product 8,A high-performance smartphone with a large screen and fast processor.
9,Product 9,A lightweight laptop suitable for productivity and entertainment.
10,Product 10,A high-performance smartphone with a large screen and fast processor.
11,Product 11,A lightweight laptop suitable for productivity and entertainment.
12,Product 12,A high-performance smartphone with a large screen and fast processor.
13,Product 13,A lightweight laptop suitable for productivity and entertainment.
14,Product 14,A high-performance smartphone with a large screen and fast processor.
15,Product 15,A lightweight laptop suitable for productivity and entertainment.
16,Product 16,A high-performance smartphone with a large screen and fast processor.
17,Product 17,A lightweight laptop suitable for productivity and entertainment.
18,Product 18,A high-performance smartphone with a large screen and fast processor.
19,Product 19,A lightweight laptop suitable for productivity and entertainment.
20,Product 20,A high-performance smartphone with a large screen and fast processor.
21,Product 21,A lightweight laptop suitable for productivity and entertainment.
22,Product 22,A high-performance smartphone with a large screen and fast processor.
23,Product 23,A lightweight laptop suitable for productivity and entertainment.
24,Product 24,A high-performance smartphone with a large screen and fast processor.
25,Product 25,A lightweight laptop suitable for productivity and entertainment.
26,Product 26,A high-performance smartphone with a large screen and fast processor.
27,Product 27,A lightweight laptop suitable for productivity and entertainment.
28,Product 28,A high-performance smartphone with a large screen and fast processor.
29,Product 29,A lightweight laptop suitable for productivity and entertainment.
30,Product 30,A high-performance smartphone with a large screen and fast processor.
31,Product 31,A lightweight laptop suitable for productivity and entertainment.
32,Product 32,A high-performance smartphone with a large screen and fast processor.
33,Product 33,A lightweight laptop suitable for productivity and entertainment.
34,Product 34,A high-performance smartphone with a large screen and fast processor.
35,Product 35,A lightweight laptop suitable for productivity and entertainment.
36,Product 36,A high-performance smartphone with a large screen and fast processor.
37,Product 37,A lightweight laptop suitable for productivity and entertainment.
38,Product 38,A high-performance smartphone with a large screen and fast processor.
39,Product 39,A lightweight laptop suitable for productivity and entertainment.
40,Product 40,A high-performance smartphone with a large screen and fast processor.
41,Product 41,A lightweight laptop suitable for productivity and entertainment.
42,Product 42,A high-performance smartphone with a large screen and fast processor.
43,Product 43,A lightweight laptop suitable for productivity and entertainment.
44,Product 44,A high-performance smartphone with a large screen and fast processor.
45,Product 45,A lightweight laptop suitable for productivity and entertainment.
46,Product 46,A high-performance smartphone with a large screen and fast processor.
47,Product 47,A lightweight laptop suitable for productivity and entertainment.
48,Product 48,A high-performance smartphone with a large screen and fast processor.
49,Product 49,A lightweight laptop suitable for productivity and entertainment.
50,Product 50,A high-performance smartphone with a large screen and fast processor.
51,Product 51,A lightweight laptop suitable for productivity and entertainment.
52,Product 52,A high-performance smartphone with a large screen and fast processor.
53,Product 53,A lightweight laptop suitable for productivity and entertainment.
54,Product 54,A high-performance smartphone with a large screen and fast processor.
55,Product 55,A lightweight laptop suitable for productivity and entertainment.
56,Product 56,A high-performance smartphone with a large screen and fast processor.
57,Product 57,A lightweight laptop suitable for productivity and entertainment.
58,Product 58,A high-performance smartphone with a large screen and fast processor.
59,Product 59,A lightweight laptop suitable for productivity and entertainment.
60,Product 60,A high-performance smartphone with a large screen and fast processor.
61,Product 61,A lightweight laptop suitable for productivity and entertainment.
62,Product 62,A high-performance smartphone with a large screen and fast processor.
63,Product 63,A lightweight laptop suitable for productivity and entertainment.
64,Product 64,A high-performance smartphone with a large screen and fast processor.
65,Product 65,A lightweight laptop suitable for productivity and entertainment.
66,Product 66,A high-performance smartphone with a large screen and fast processor.
67,Product 67,A lightweight laptop suitable for productivity and entertainment.
68,Product 68,A high-performance smartphone with a large screen and fast processor.
69,Product 69,A lightweight laptop suitable for productivity and entertainment.
70,Product 70,A high-performance smartphone with a large screen and fast processor.
71,Product 71,A lightweight laptop suitable for productivity and entertainment.
72,Product 72,A high-performance smartphone with a large screen and fast processor.
73,Product 73,A lightweight laptop suitable for productivity and entertainment.
74,Product 74,A high-performance smartphone with a large screen and fast processor.
